Country,Region,2022
Iceland,Europe,79473
Luxembourg,Europe,78310
United States,North America,77463
Switzerland,Europe,72993
Belgium,Europe,64848
Denmark,Europe,64127
Austria,Europe,63802
Netherlands,Europe,63225
Australia,Oceania,59408
Canada,North America,59050
Germany,Europe,58940
United Kingdom,Europe,53985
Norway,Europe,53756
France,Europe,52764
Ireland,Europe,52243
Finland,Europe,51836
New Zealand,Oceania,50722
Sweden,Europe,50407
South Korea,Asia,48922
Slovenia,Europe,47204
Italy,Europe,44893
Israel,Asia,44156
Lithuania,Europe,43875
Spain,Europe,42859
Japan,Asia,41509
Poland,Europe,36897
Estonia,Europe,34705
Latvia,Europe,34136
Czech Republic,Europe,33476
Turkey,Europe,
Chile,South America,
Costa Rica,South America,
Portugal,Europe,31922
Hungary,Europe,28475
Slovakia,Europe,26263
Greece,Europe,25979
Colombia,South America,
Mexico,North America,16685
